2026-03-19 23:52:19,745 | INFO | car_parking_agent | Run started | rows=7 columns=6 display=False
2026-03-19 23:52:19,745 | INFO | car_parking_agent | Goal processing started | goal_index=0 target=(2, 1)
2026-03-19 23:52:19,745 | INFO | car_parking_agent | Training started | agent=QTableAgent goal=(2, 1) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:52:20,149 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=100 avg_reward=-56.75 successes_last_100=78 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:52:20,357 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=200 avg_reward=59.26 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:52:20,502 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=300 avg_reward=79.25 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:52:20,630 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=400 avg_reward=85.79 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:52:20,744 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=500 avg_reward=87.17 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:52:20,863 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=600 avg_reward=88.98 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:52:20,982 | INFO | car_parking_agent | Training progress | agent=QTableAgent goal=(2, 1) episode=700 avg_reward=89.85 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
2026-03-19 23:52:21,005 | INFO | car_parking_agent | Training stopped early | agent=QTableAgent goal=(2, 1) episode=720 recent_successes=50
2026-03-19 23:52:21,005 | INFO | car_parking_agent | Training finished | agent=QTableAgent goal=(2, 1) episodes_run=720 successes=698 final_epsilon=0.0500
2026-03-19 23:52:21,005 | INFO | car_parking_agent | Testing started | agent=QTableAgent goal=(2, 1) max_steps=50 display=False
2026-03-19 23:52:21,005 | INFO | car_parking_agent | Testing finished | agent=QTableAgent goal=(2, 1) success=True steps=10 final_reward=100 path=[(6, 5), (6, 4), (6, 3), (5, 3), (5, 2), (5, 1), (5, 0), (4, 0), (3, 0), (2, 0), (2, 1)]
2026-03-19 23:52:21,005 | INFO | car_parking_agent | Training started | agent=DoubleQTableAgent goal=(2, 1) episodes=2000 max_steps=100 cutoff=50
2026-03-19 23:52:21,056 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=100 avg_reward=-54.20 successes_last_100=80 epsilon=0.6058 avg_loss=n/a
2026-03-19 23:52:21,079 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=200 avg_reward=58.99 successes_last_100=100 epsilon=0.3670 avg_loss=n/a
2026-03-19 23:52:21,095 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=300 avg_reward=79.60 successes_last_100=100 epsilon=0.2223 avg_loss=n/a
2026-03-19 23:52:21,109 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=400 avg_reward=84.68 successes_last_100=100 epsilon=0.1347 avg_loss=n/a
2026-03-19 23:52:21,123 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=500 avg_reward=87.55 successes_last_100=100 epsilon=0.0816 avg_loss=n/a
2026-03-19 23:52:21,137 | INFO | car_parking_agent | Training progress | agent=DoubleQTableAgent goal=(2, 1) episode=600 avg_reward=89.32 successes_last_100=100 epsilon=0.0500 avg_loss=n/a
