2026-03-21 16:44:37,302 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 16:58:56,819 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:07:26,437 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:19:47,878 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:26:35,445 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:39:55,173 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:47:02,752 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 17:59:08,974 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:04:54,552 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:12:48,005 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:18:01,974 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:27:45,804 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:32:20,987 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:39:21,926 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:43:12,860 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
2026-03-21 18:48:12,576 | INFO | deep_q_network | Initializing constructor for DeepQNetwork, Rows: 11, Columns: 10, Action size: 4, Alpha: 0.0005, Gamma: 0.95, Epsilon: 1.0, Epsilon Decay: 0.997, Epsilon Min: 0.05, Batch Size: 64, Target Update Frequency: 250, State Method: get_dqn_state, Device: cuda
