2026-03-21 16:44:35,639 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 16:58:56,054 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:07:24,121 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:19:46,957 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:26:33,341 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:39:54,501 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:47:00,542 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 17:59:08,323 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:04:53,044 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:12:47,345 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:18:00,014 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:27:45,087 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:32:19,779 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:39:21,402 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:43:12,085 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
2026-03-21 18:48:12,121 | INFO | double_q_table_agent | Initializing constructor for DoubleQTableAgent, Alpha: 0.1, Gamma: 0.95, Epsilon: 1.0, Epsilon decay: 0.995, Epsilon Min: 0.05, State Method: get_state
