2026-03-21 16:44:21,801 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:44:21,807 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:44:35,639 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:44:37,302 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:58:50,390 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:58:56,055 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 16:58:56,819 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 1)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:07:10,261 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:07:24,121 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:07:26,437 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (4, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
2026-03-21 17:19:43,383 | INFO | parking_lot | Initializing constructor for ParkingLotRows: 11Columns: 10Entrance: (10, 9)Barriers: [(5, 1), (5, 2), (5, 3), (5, 4), (5, 5), (5, 6), (5, 7), (5, 8)]Parking Spots: [(4, 1), (6, 1), (4, 2), (6, 2), (4, 3), (6, 3), (4, 4), (6, 4), (4, 5), (6, 5), (4, 6), (6, 6), (4, 7), (6, 7), (4, 8), (6, 8)]Goal: (6, 2)Actions: {0: (-1, 0), 1: (1, 0), 2: (0, -1), 3: (0, 1)}
